"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","153","test_dashboard_top_scorer_positive_goals","tests","2026-06-11","passed","2026-06-11","","test_dashboard","",""
"","22","test_list_players","tests","2026-06-11","passed","2026-06-11","","test_players","",""
"","289","test_dashboard_multiple_simulations","tests","2026-06-11","passed","2026-06-11","","test_dashboard","",""
"","179","test_simulator_run_partial_teams_generates_rest","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","240","test_simulator_run_some_teams_have_players","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","152","test_simulator_run_empty_db_autogenerates","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","158","test_dashboard_after_simulation_returns_200","tests","2026-06-11","passed","2026-06-11","","test_dashboard","",""
"","3","test_player_abm_create_without_team","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","10","test_delete_team","tests","2026-06-11","passed","2026-06-11","","test_teams","",""
"","18","test_list_players_by_team","tests","2026-06-11","passed","2026-06-11","","test_players","",""
"","231","test_simulator_run_teams_have_players","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","10","test_get_team","tests","2026-06-11","passed","2026-06-11","","test_teams","",""
"","174","test_simulator_run_third_place_not_finalists","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","146","test_simulator_run_group_even_distribution","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","8","test_create_player_invalid_position","tests","2026-06-11","passed","2026-06-11","","test_players","",""
"","142","test_simulator_run_standings_ordered_by_pts","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","17","test_update_player","tests","2026-06-11","passed","2026-06-11","","test_players","",""
"","217","test_simulator_run_returns_200","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","4","test_dashboard_no_simulation_returns_404","tests","2026-06-11","passed","2026-06-11","","test_dashboard","",""
